Model,Variant,Recall,Precision,F1,Specificity,NPV,AUROC,FN,Recovered_FNs
MLP (Balanced Acc),Stage 1 only,0.7705835010060362,0.28302345435781967,0.4097127763214215,0.27591474814379574,0.6127264040738556,0.5713395419791867,16.2,0.0
MLP (Balanced Acc),Two stage,0.926056338028169,0.2737265438124217,0.42026860754789097,0.09710352011110517,0.6910112359550562,0.5747170452607209,5.25,15.0
MLP (Balanced Acc),Delta (Two stage - Stage 1),0.15547283702213277,-0.009296910545397996,0.01055583122646947,-0.17881122803269056,0.07828483188120061,0.0033775032815341888,-10.95,15.0
