Model,Variant,Recall,Precision,F1,Specificity,NPV,AUROC,FN,Recovered_FNs
MLP (AUCPR),Stage 1 only,0.7029778672032193,0.28234292020270924,0.4007431085313396,0.34119972223705997,0.7575539902807522,0.5726239322586875,21.0,0.0
MLP (AUCPR),Two stage,0.9408450704225352,0.27173863488280886,0.4197142107355001,0.07252817691362641,0.352808988764045,0.578834403246572,4.2,16.8
MLP (AUCPR),Delta (Two stage - Stage 1),0.23786720321931587,-0.010604285319900375,0.018971102204160484,-0.26867154532343357,-0.4047450015167072,0.00621047098788452,-16.8,16.8
