Model,Fold,Variant,Stage1_threshold,Stage2_threshold,F1,Weighted F1,Precision,Recall,Specificity,NPV,AUROC,TN,FP,FN,TP,Recovered_FNs
MLP (F1 (macro)),1,Stage 1 only,0.01,,0.4,0.3472905660377359,0.2679425837320574,0.7887323943661971,0.211340206185567,0.7321428571428571,0.5867576593582111,41,153,15,56,0
MLP (F1 (macro)),1,Two stage,0.01,0.0,0.4226190476190476,0.11323000898472596,0.2679245283018868,1.0,0.0,0.0,0.6311165964861333,0,194,0,71,15
MLP (F1 (macro)),2,Stage 1 only,0.11,,0.39,0.564929785661493,0.3,0.5571428571428572,0.5309278350515464,0.7686567164179104,0.5852724594992635,103,91,31,39,0
MLP (F1 (macro)),2,Two stage,0.11,0.02,0.42168674698795183,0.12680778773721976,0.26717557251908397,1.0,0.010309278350515464,1.0,0.5867820324005891,2,192,0,70,31
MLP (F1 (macro)),3,Stage 1 only,0.01,,0.4280442804428044,0.40526653674743324,0.29,0.8169014084507042,0.26424870466321243,0.796875,0.6052689192147706,51,142,13,58,0
MLP (F1 (macro)),3,Two stage,0.01,0.05,0.42388059701492536,0.11399819086386251,0.2689393939393939,1.0,0.0,0.0,0.5889951105597314,0,193,0,71,13
MLP (F1 (macro)),4,Stage 1 only,0.0,,0.42388059701492536,0.11399819086386251,0.2689393939393939,1.0,0.0,0.0,0.5406115449171714,0,193,0,71,0
MLP (F1 (macro)),5,Stage 1 only,0.02,,0.4066390041493776,0.4761651751075898,0.28823529411764703,0.6901408450704225,0.37305699481865284,0.7659574468085106,0.5387871269065168,72,121,22,49,0
MLP (F1 (macro)),5,Two stage,0.02,0.22,0.4065040650406504,0.46189319243289145,0.2857142857142857,0.704225352112676,0.35233160621761656,0.7640449438202247,0.5064219513975041,68,125,21,50,1
