Model,Variant,Recall,Precision,F1,Specificity,NPV,AUROC,FN,Recovered_FNs
MLP (F1 Weighted),Stage 1 only,0.7086116700201207,0.28491739375175906,0.40428888363908416,0.34430853052721544,0.7627264040738556,0.5724633834737499,20.6,0.0
MLP (F1 Weighted),Two stage,0.9408450704225352,0.2727691138378161,0.4209910054412978,0.07768281608888414,0.5528089887640449,0.5735005573207419,4.2,16.4
MLP (F1 Weighted),Delta (Two stage - Stage 1),0.23223340040241447,-0.012148279913942961,0.016702121802213643,-0.2666257144383313,-0.20991741530981067,0.001037173846991979,-16.400000000000002,16.4
