Model,Fold,Variant,Stage1_threshold,Stage2_threshold,F1,Weighted F1,Precision,Recall,Specificity,NPV,AUROC,TN,FP,FN,TP,Recovered_FNs
XGBoost (F1 (macro)),1,Stage 1 only,0.32,,0.4596774193548387,0.5073686777776338,0.3220338983050847,0.8028169014084507,0.38144329896907214,0.8409090909090909,0.6589952083635836,74,120,14,57,0
XGBoost (F1 (macro)),1,Two stage,0.32,0.01,0.4226190476190476,0.11323000898472596,0.2679245283018868,1.0,0.0,0.0,0.6346014229708146,0,194,0,71,14
XGBoost (F1 (macro)),2,Stage 1 only,0.31,,0.4083333333333333,0.4807975589225589,0.28823529411764703,0.7,0.37628865979381443,0.776595744680851,0.6245213549337261,73,121,21,49,0
XGBoost (F1 (macro)),2,Two stage,0.31,0.08,0.43506493506493504,0.2690082644628099,0.2815126050420168,0.9571428571428572,0.11855670103092783,0.8846153846153846,0.6097938144329897,23,171,3,67,18
XGBoost (F1 (macro)),3,Stage 1 only,0.31,,0.4470588235294118,0.473711582535112,0.30978260869565216,0.8028169014084507,0.34196891191709844,0.825,0.6305918412026563,66,127,14,57,0
XGBoost (F1 (macro)),3,Two stage,0.31,0.0,0.42388059701492536,0.11399819086386251,0.2689393939393939,1.0,0.0,0.0,0.5793621834634752,0,193,0,71,14
XGBoost (F1 (macro)),4,Stage 1 only,0.33,,0.44635193133047213,0.5314180945264091,0.32098765432098764,0.7323943661971831,0.43005181347150256,0.8137254901960784,0.640370721739765,83,110,19,52,0
XGBoost (F1 (macro)),4,Two stage,0.33,0.04,0.4251497005988024,0.12187621009153204,0.26996197718631176,1.0,0.0051813471502590676,1.0,0.6285484930307231,1,192,0,71,19
XGBoost (F1 (macro)),5,Stage 1 only,0.34,,0.45493562231759654,0.5386829302701858,0.3271604938271605,0.7464788732394366,0.43523316062176165,0.8235294117647058,0.6489089980296285,84,109,18,53,0
XGBoost (F1 (macro)),5,Two stage,0.34,0.01,0.42388059701492536,0.11399819086386251,0.2689393939393939,1.0,0.0,0.0,0.5911114354520908,0,193,0,71,18
XGBoost (Balanced Acc),1,Stage 1 only,0.32,,0.4596774193548387,0.5073686777776338,0.3220338983050847,0.8028169014084507,0.38144329896907214,0.8409090909090909,0.6589952083635836,74,120,14,57,0
XGBoost (Balanced Acc),1,Two stage,0.32,0.01,0.4226190476190476,0.11323000898472596,0.2679245283018868,1.0,0.0,0.0,0.6346014229708146,0,194,0,71,14
XGBoost (Balanced Acc),2,Stage 1 only,0.31,,0.4083333333333333,0.4807975589225589,0.28823529411764703,0.7,0.37628865979381443,0.776595744680851,0.6245213549337261,73,121,21,49,0
XGBoost (Balanced Acc),2,Two stage,0.31,0.08,0.43506493506493504,0.2690082644628099,0.2815126050420168,0.9571428571428572,0.11855670103092783,0.8846153846153846,0.6097938144329897,23,171,3,67,18
XGBoost (Balanced Acc),3,Stage 1 only,0.31,,0.4470588235294118,0.473711582535112,0.30978260869565216,0.8028169014084507,0.34196891191709844,0.825,0.6305918412026563,66,127,14,57,0
XGBoost (Balanced Acc),3,Two stage,0.31,0.0,0.42388059701492536,0.11399819086386251,0.2689393939393939,1.0,0.0,0.0,0.5793621834634752,0,193,0,71,14
XGBoost (Balanced Acc),4,Stage 1 only,0.33,,0.44635193133047213,0.5314180945264091,0.32098765432098764,0.7323943661971831,0.43005181347150256,0.8137254901960784,0.640370721739765,83,110,19,52,0
XGBoost (Balanced Acc),4,Two stage,0.33,0.01,0.42042042042042044,0.12056567056567057,0.26717557251908397,0.9859154929577465,0.0051813471502590676,0.5,0.6513172298036927,1,192,1,70,18
XGBoost (Balanced Acc),5,Stage 1 only,0.34,,0.45493562231759654,0.5386829302701858,0.3271604938271605,0.7464788732394366,0.43523316062176165,0.8235294117647058,0.6489089980296285,84,109,18,53,0
XGBoost (Balanced Acc),5,Two stage,0.34,0.0,0.42388059701492536,0.11399819086386251,0.2689393939393939,1.0,0.0,0.0,0.5874625994307816,0,193,0,71,18
XGBoost (AUCPR),1,Stage 1 only,0.32,,0.4596774193548387,0.5073686777776338,0.3220338983050847,0.8028169014084507,0.38144329896907214,0.8409090909090909,0.6589952083635836,74,120,14,57,0
XGBoost (AUCPR),1,Two stage,0.32,0.01,0.4226190476190476,0.11323000898472596,0.2679245283018868,1.0,0.0,0.0,0.6346014229708146,0,194,0,71,14
XGBoost (AUCPR),2,Stage 1 only,0.31,,0.4083333333333333,0.4807975589225589,0.28823529411764703,0.7,0.37628865979381443,0.776595744680851,0.6245213549337261,73,121,21,49,0
XGBoost (AUCPR),2,Two stage,0.31,0.05,0.42592592592592593,0.17777447679408465,0.27165354330708663,0.9857142857142858,0.04639175257731959,0.9,0.6130338733431517,9,185,1,69,20
XGBoost (AUCPR),3,Stage 1 only,0.27,,0.43781094527363185,0.5961757102726567,0.3384615384615385,0.6197183098591549,0.5544041450777202,0.7985074626865671,0.6096475224403415,107,86,27,44,0
XGBoost (AUCPR),3,Two stage,0.27,0.0,0.42388059701492536,0.11399819086386251,0.2689393939393939,1.0,0.0,0.0,0.5926439465810407,0,193,0,71,27
XGBoost (AUCPR),4,Stage 1 only,0.13,,0.4491525423728814,0.5263832309629849,0.3212121212121212,0.7464788732394366,0.41968911917098445,0.8181818181818182,0.6207399839451215,81,112,18,53,0
XGBoost (AUCPR),4,Two stage,0.13,0.04,0.4264264264264264,0.12967897967897968,0.27099236641221375,1.0,0.010362694300518135,1.0,0.5787053929796395,2,191,0,71,18
XGBoost (AUCPR),5,Stage 1 only,0.18,,0.4602510460251046,0.5285190732592682,0.3273809523809524,0.7746478873239436,0.41450777202072536,0.8333333333333334,0.644311464642779,80,113,16,55,0
XGBoost (AUCPR),5,Two stage,0.18,0.03,0.4316109422492401,0.1601612418729921,0.2751937984496124,1.0,0.031088082901554404,1.0,0.6434722323578779,6,187,0,71,16
XGBoost (F1 Weighted),1,Stage 1 only,0.2,,0.4533333333333333,0.5583041550675328,0.33116883116883117,0.7183098591549296,0.4690721649484536,0.8198198198198198,0.6597212138812255,91,103,20,51,0
XGBoost (F1 Weighted),1,Two stage,0.2,0.0,0.4226190476190476,0.11323000898472596,0.2679245283018868,1.0,0.0,0.0,0.6326412080731814,0,194,0,71,20
XGBoost (F1 Weighted),2,Stage 1 only,0.17,,0.4406779661016949,0.5195031344323194,0.3132530120481928,0.7428571428571429,0.41237113402061853,0.8163265306122449,0.6209131075110457,80,114,18,52,0
XGBoost (F1 Weighted),2,Two stage,0.17,0.0,0.41916167664670656,0.11114135365632372,0.26515151515151514,1.0,0.0,0.0,0.6047496318114876,0,194,0,70,18
XGBoost (F1 Weighted),3,Stage 1 only,0.27,,0.43781094527363185,0.5961757102726567,0.3384615384615385,0.6197183098591549,0.5544041450777202,0.7985074626865671,0.6096475224403415,107,86,27,44,0
