Model,Variant,Recall,Precision,F1,Specificity,NPV,AUROC,FN,Recovered_FNs
MLP (F1 (macro)),Stage 1 only,0.7705835010060362,0.28302345435781967,0.4097127763214215,0.27591474814379574,0.6127264040738556,0.5713395419791867,16.2,0.0
MLP (F1 (macro)),Two stage,0.926056338028169,0.2724384451186626,0.41867261416564383,0.09066022114203301,0.4410112359550562,0.5783289227109895,5.25,15.0
MLP (F1 (macro)),Delta (Two stage - Stage 1),0.15547283702213277,-0.010585009239157062,0.00895983784422233,-0.18525452700176273,-0.1717151681187994,0.0069893807318027745,-10.95,15.0
